"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1139",5242,0.149600284957182,0.00091,0.00626523702031603,"preeclampsia_vs_PretermControls","cmap","clomifene",6.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","397","Clomiphene citrate (Z,E) [50-41-9]","APRD00880","50-41-9","DB00882",1
"1140",5244,0.156484597441678,0.00041,0.00338430311231394,"preeclampsia_vs_PretermControls","cmap","amoxapine",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","102","Amoxapine [14028-44-5]","C0002644","14028-44-5","DB00543",1
"1141",5246,0.140031996412533,0.00257,0.0142907930720146,"preeclampsia_vs_PretermControls","cmap","sulconazole",8.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","810","Sulconazole nitrate [61318-91-0]","C0144004","61318-91-0","DB06820",1
"1142",5248,0,1,1,"preeclampsia_vs_PretermControls","cmap","methotrexate",8.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","373","Amethopterin (R,S) [59-05-2]","C0025677","59-05-2","DB00563",1
"1143",5256,0.127297144367376,0.00938,0.0381707805203469,"preeclampsia_vs_PretermControls","cmap","fluspirilene",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","906","Fluspirilen [1841-19-6]","C0016383","1841-19-6","DB04842",1
"1144",5258,0.154279979704584,0.00055,0.00430680359435173,"preeclampsia_vs_PretermControls","cmap","prochlorperazine",6.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","399","Prochlorperazine dimaleate [84-02-6]","C0770888","84-02-6","DB00433",1
"1145",5266,0.13121447763977,0.00634,0.0284158706833211,"preeclampsia_vs_PretermControls","cmap","metixene",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","491","Metixene hydrochloride [1553-34-0]","APRD01101","1553-34-0","DB00340",1
"1146",5271,0.261726580868192,0,0,"preeclampsia_vs_PretermControls","cmap","ciclopirox",1.5e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","541","Ciclopirox ethanolamine [41621-49-2]","C0126169","41621-49-2","DB01188",1
"1147",5274,0,1,1,"preeclampsia_vs_PretermControls","cmap","ouabain",5.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","471","Strophantine octahydrate [11018-89-6]","C0029904","11018-89-6","DB01092",1
"1148",5276,0,1,1,"preeclampsia_vs_PretermControls","cmap","lisuride",1.18e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","106","Lisuride (S)(-) [18016-80-3]","C0023863","18016-80-3","DB00589",1
